Reaction,EC-Number,Substrates,Products of reaction,Enzymes of a reaction,Genes of a reaction,Pathways of a reaction
hydrogen sulfide + 3 NADP+ + 3 H2O  <-  sulfite + 3 NADPH + 5 H+,EC-1.8.1.2,hydrogen sulfide // NADP<sup>+</sup> // H<sub>2</sub>O // H<SUP>+</SUP> // NADPH // sulfite,H<sub>2</sub>O // NADP<sup>+</sup> // hydrogen sulfide,assimilatory sulfite reductase (NADPH),cysJ // cysI,assimilatory sulfate reduction I
(R)-methylmalonyl-CoA  <-->  (S)-methylmalonyl-CoA,EC-5.1.99.1,(R)-methylmalonyl-CoA // (S)-methylmalonyl-CoA,(S)-methylmalonyl-CoA,methylmalonyl-CoA epimerase,,propanoyl CoA degradation I
ATP + pyridoxamine  ->  ADP + pyridoxamine 5'-phosphate + H+,EC-2.7.1.35,pyridoxamine // ATP // H<SUP>+</SUP> // ADP // pyridoxamine 5'-phosphate,H<SUP>+</SUP> // ADP // pyridoxamine 5'-phosphate,pyridoxal kinase 1 / hydroxymethylpyrimidine kinase,pdxK,pyridoxal 5'-phosphate salvage I
ATP + dGMP  <-->  ADP + dGDP,EC-2.7.4.13 // EC-2.7.4.12,dGMP // ATP // ADP // dGDP,ADP // dGDP,guanylate kinase,gmk,
aldehydo-D-glucose + L-asparagine  ->  N-(1-deoxy-D-fructos-1-yl)-L-asparagine + H2O,,L-asparagine // <i>aldehydo</i>-D-glucose // <i>N</i>-(1-deoxy-D-fructos-1-yl)-L-asparagine // H<sub>2</sub>O,<i>N</i>-(1-deoxy-D-fructos-1-yl)-L-asparagine // H<sub>2</sub>O,,,
"a 5,10-methylenetetrahydrofolate + dUMP  ->  dTMP + a 7,8-dihydrofolate",EC-2.1.1.45,"dUMP // a 5,10-methylenetetrahydrofolate // dTMP // a 7,8-dihydrofolate","dTMP // a 7,8-dihydrofolate",thymidylate synthase,thyA,folate transformations III (<i>E. coli</i>) // pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis II // pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I // superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (<i>E. coli</i>)
"2-phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol  ->  CMP + 2-C-methyl-D-erythritol-2,4-cyclodiphosphate",EC-4.6.1.12,"2-phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol // CMP // 2-C-methyl-D-erythritol-2,4-cyclodiphosphate","CMP // 2-C-methyl-D-erythritol-2,4-cyclodiphosphate","2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",ispF,methylerythritol phosphate pathway I
D-xylofuranose  <-->  D-xylopyranose,,D-xylofuranose // D-xylopyranose,D-xylopyranose,,,
palmitate + coenzyme A + ATP  ->  palmitoyl-CoA + AMP + diphosphate,EC-6.2.1.3,ATP // coenzyme A // palmitate // palmitoyl-CoA // diphosphate // AMP,palmitoyl-CoA // diphosphate // AMP,long-chain-fatty-acid&mdash;CoA ligase,,palmitate biosynthesis II (type II fatty acid synthase)
CcmH protein with an internal disulfide bridge + apo-[c-type cytochrome] with reduced L-cysteine residues  ->  apo-[c-type cytochrome]--CcmH disulfide,EC-1.8.4,an <i>apo</i>-[<i>c</i>-type cytochrome]--CcmH disulfide // an <i>apo</i>-[<i>c</i>-type cytochrome] with reduced L-cysteine residues // a CcmH protein with an internal disulfide bridge,an <i>apo</i>-[<i>c</i>-type cytochrome]--CcmH disulfide,holocytochrome <I>c</I> synthase CcmH component,ccmH,cytochrome <i>c</i> biogenesis (system I type)
(R)-lactate + H+  <-  methylglyoxal + H2O,EC-4.2.1.130,H<SUP>+</SUP> // (<i>R</i>)-lactate // methylglyoxal // H<sub>2</sub>O,(<i>R</i>)-lactate // H<SUP>+</SUP>,protein/nucleic acid deglycase 2 // protein/nucleic acid deglycase 1,hchA // yhbO,
a lipoprotein signal peptide + n H2O  ->  n+1 peptide,EC-3.4.21,H<sub>2</sub>O // a lipoprotein signal peptide // a peptide,a peptide,"intramembrane zinc metalloprotease RseP // protease IV, a signal peptide peptidase",sppA // rseP,lipoprotein posttranslational modification (Gram-negative bacteria)
a 1-palmitoyl-2-acyl-sn-glycero-3-phosphocholine + lipid A (E. coli)  ->  a hepta-acylated lipid A (E. coli) + a 1-lysophosphatidylcholine,EC-2.3.1.251,lipid A (<i>E. coli</i>) // a 1-palmitoyl-2-acyl-<i>sn</i>-glycero-3-phosphocholine // a hepta-acylated lipid A (<i>E. coli</i>) // a 1-lysophosphatidylcholine,a hepta-acylated lipid A (<i>E. coli</i>) // a 1-lysophosphatidylcholine,,,
D-erythrose 4-phosphate + NAD+ + H2O  ->  4-phospho-D-erythronate + NADH + 2 H+,EC-1.2.1.72,NAD<sup>+</sup> // H<sub>2</sub>O // D-erythrose 4-phosphate // 4-phospho-D-erythronate // NADH // H<SUP>+</SUP>,4-phospho-D-erythronate // NADH // H<SUP>+</SUP>,D-erythrose-4-phosphate dehydrogenase,epd,pyridoxal 5'-phosphate biosynthesis I
orotidine 5'-phosphate + H+  ->  CO2 + UMP,EC-4.1.1.23,orotidine 5'-phosphate // H<SUP>+</SUP> // CO<SUB>2</SUB> // UMP,CO<SUB>2</SUB> // UMP,orotidine-5'-phosphate decarboxylase,pyrF,UMP biosynthesis I
shikimate 3-phosphate + phosphoenolpyruvate  <-->  5-enolpyruvoyl-shikimate 3-phosphate + phosphate,EC-2.5.1.19,phospho<i>enol</i>pyruvate // shikimate 3-phosphate // 5-enolpyruvoyl-shikimate 3-phosphate // phosphate,5-enolpyruvoyl-shikimate 3-phosphate // phosphate,3-phosphoshikimate 1-carboxyvinyltransferase,aroA,chorismate biosynthesis from 3-dehydroquinate
(S)-malate + NAD+  <-->  oxaloacetate + NADH + H+,EC-1.1.1.37,NAD<sup>+</sup> // (<i>S</i>)-malate // H<SUP>+</SUP> // oxaloacetate // NADH,H<SUP>+</SUP> // oxaloacetate // NADH,malate dehydrogenase // malate dehydrogenase (oxaloacetate-decarboxylating),mdh,mixed acid fermentation // gluconeogenesis I // TCA cycle I (prokaryotic) // glyoxylate cycle
phenylacetaldehyde + NAD+ + H2O  ->  phenylacetate + NADH + 2 H+,EC-1.2.1.39,phenylacetaldehyde // NAD<sup>+</sup> // H<sub>2</sub>O // H<SUP>+</SUP> // NADH // phenylacetate,H<SUP>+</SUP> // NADH // phenylacetate,phenylacetaldehyde dehydrogenase,feaB,phenylethylamine degradation I
"D-glycero-D-manno-heptose 7-phosphate + ATP  ->  D-glycero-beta-D-manno-heptose 1,7-bisphosphate + ADP + H+",EC-2.7.1.167,"ATP // D-<i>glycero</i>-D-<i>manno</i>-heptose 7-phosphate // H<SUP>+</SUP> // D-<i>glycero</i>-&beta;-D-<i>manno</i>-heptose 1,7-bisphosphate // ADP","H<SUP>+</SUP> // D-<i>glycero</i>-&beta;-D-<i>manno</i>-heptose 1,7-bisphosphate // ADP",fused heptose 7-phosphate kinase/heptose 1-phosphate adenyltransferase,hldE,ADP-L-<i>glycero</i>-&beta;-D-<i>manno</i>-heptose biosynthesis
antimonous acid + 3 glutathione  ->  antimony triglutathione + 3 H2O,,glutathione // antimonous acid // antimony triglutathione // H<sub>2</sub>O,antimony triglutathione // H<sub>2</sub>O,,,
acetyl-CoA + glyoxylate + H2O  ->  (S)-malate + coenzyme A + H+,EC-2.3.3.9,glyoxylate // H<sub>2</sub>O // acetyl-CoA // H<SUP>+</SUP> // (<i>S</i>)-malate // coenzyme A,H<SUP>+</SUP> // (<i>S</i>)-malate // coenzyme A,malate synthase G // malate synthase A,aceB // glcB,D-xylose degradation IV // L-arabinose degradation IV // glycolate and glyoxylate degradation II // glyoxylate cycle
N-(5-phosphoribosyl)-anthranilate  ->  1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,EC-5.3.1.24,<i>N</i>-(5-phosphoribosyl)-anthranilate // 1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,fused indole-3-glycerol phosphate synthase/phosphoribosylanthranilate isomerase,trpC,L-tryptophan biosynthesis
maltohexaose + D-glucopyranose  <-->  maltopentaose + maltose,EC-2.4.1.25,D-glucopyranose // maltohexaose // maltopentaose // maltose,maltopentaose // maltose,4-&alpha;-glucanotransferase,malQ,
chorismate  ->  prephenate,EC-5.4.99.5,chorismate // prephenate,prephenate,fused chorismate mutase/prephenate dehydrogenase // fused chorismate mutase/prephenate dehydratase,pheA // tyrA,L-tyrosine biosynthesis I // L-phenylalanine biosynthesis I
"(1,4-alpha-D-glucosyl)(n) + H2O  ->  (1,4-alpha-D-glucosyl)(n-1) + D-glucopyranose",EC-3.2.1.20,H<sub>2</sub>O // a (1&rarr;4)-&alpha;-D-glucan // D-glucopyranose,a (1&rarr;4)-&alpha;-D-glucan // D-glucopyranose,maltodextrin glucosidase,malZ,
maltopentaose + D-glucopyranose  <-->  maltotetraose + maltose,EC-2.4.1.25,D-glucopyranose // maltopentaose // maltotetraose // maltose,maltotetraose // maltose,4-&alpha;-glucanotransferase,malQ,
3-hydroxybenzoyl-CoA + H2O  ->  3-hydroxybenzoate + coenzyme A + H+,EC-3.1.2,H<sub>2</sub>O // 3-hydroxybenzoyl-CoA // 3-hydroxybenzoate // coenzyme A // H<SUP>+</SUP>,3-hydroxybenzoate // coenzyme A // H<SUP>+</SUP>,proofreading thioesterase in enterobactin biosynthesis,entH,
"GTP  ->  3',5'-cyclic GMP + diphosphate",EC-4.6.1.2,"GTP // 3',5'-cyclic GMP // diphosphate","3',5'-cyclic GMP // diphosphate",guanylate cyclase,,
2-aminoprop-2-enoate  ->  2-iminopropanoate,,2-aminoprop-2-enoate // 2-iminopropanoate,2-iminopropanoate,,sdaB // tdcB // sdaA // tdcG // cysK // cysM // cyuA // metC // malY // dsdA // glyA // tnaA // dcyD,L-cysteine degradation II // L-serine degradation // D-serine degradation // L-tryptophan degradation II (via pyruvate)
"(2,3-dihydroxybenzoyl)adenylate + holo-[2,3-dihydroxybenzoyl-carrier protein]  ->  2,3-dihydroxybenzoyl-[2,3-dihydroxybenzoyl-carrier protein] + AMP + H+",,"a <i>holo</i>-[2,3-dihydroxybenzoyl-carrier protein] // (2,3-dihydroxybenzoyl)adenylate // a 2,3-dihydroxybenzoyl-[2,3-dihydroxybenzoyl-carrier protein] // AMP // H<SUP>+</SUP>","a 2,3-dihydroxybenzoyl-[2,3-dihydroxybenzoyl-carrier protein] // AMP // H<SUP>+</SUP>","2,3-dihydroxybenzoate-[aryl-carrier protein] ligase // holo-EntB dimer // phosphopantetheinyl transferase EntD // holo [EntF peptidyl-carrier protein] // 2,3-dihydroxybenzoate-[aryl-carrier protein] ligase",entE,enterobactin biosynthesis
2-nitrophenyl beta-D-galactoside[periplasmic space] + H2O[periplasmic space]  ->  2-nitrophenol[periplasmic space] + D-galactopyranose[periplasmic space] + H+[periplasmic space],,H<sub>2</sub>O // 2-nitrophenyl &beta;-D-galactoside // 2-nitrophenol // D-galactopyranose // H<SUP>+</SUP>,2-nitrophenol // D-galactopyranose // H<SUP>+</SUP>,putative periplasmic glycoside hydrolase // &beta;-galactosidase,lacZ // bglX,
"an Nomega-(1-hydroxy-2-oxopropyl)-[protein]-L-arginine  ->  a [protein]-L-lysine-N-2-(4,5-dihydro-4-methyl-1H-imidazol-4,5-diol) + H+",,"an <i>N</i><sup>&omega;</sup>-(1-hydroxy-2-oxopropyl)-[protein]-L-arginine // a [protein]-L-lysine-<i>N</i>-2-(4,5-dihydro-4-methyl-1<i>H</i>-imidazol-4,5-diol) // H<SUP>+</SUP>","a [protein]-L-lysine-<i>N</i>-2-(4,5-dihydro-4-methyl-1<i>H</i>-imidazol-4,5-diol) // H<SUP>+</SUP>",,,
(S)-malate + NADP+  ->  CO2 + pyruvate + NADPH,EC-1.1.1.40,(<i>S</i>)-malate // NADP<sup>+</sup> // NADPH // CO<SUB>2</SUB> // pyruvate,NADPH // CO<SUB>2</SUB> // pyruvate,malate dehydrogenase (oxaloacetate-decarboxylating) (NADP<sup>+</sup>),maeB,gluconeogenesis I
dTDP-beta-L-rhamnose + NADP+  <-  dTDP-4-dehydro-beta-L-rhamnose + NADPH + H+,EC-1.1.1.133,dTDP-&beta;-L-rhamnose // NADP<sup>+</sup> // H<SUP>+</SUP> // NADPH // dTDP-4-dehydro-&beta;-L-rhamnose,NADP<sup>+</sup> // dTDP-&beta;-L-rhamnose,dTDP-4-dehydrorhamnose reductase,rfbD,dTDP-L-rhamnose biosynthesis
isobutanal + NADPH + H+  ->  isobutanol + NADP+,EC-1.1.1,NADP<sup>+</sup> // isobutanol // isobutanal // NADPH // H<SUP>+</SUP>,isobutanol // NADP<sup>+</sup>,"NADP<sup>+</sup>-dependent aldehyde reductase // NADP<sup>+</sup>-dependent aldehyde reductase YbbO // methylglyoxal reductase DkgA // aldehyde reductase, NADPH-dependent",yahK // dkgA // ybbO // yghA,
a uracil54 in tRNA + S-adenosyl-L-methionine  ->  a 5-methyluracil54 in tRNA + S-adenosyl-L-homocysteine + H+,EC-2.1.1.35,a uracil<sup>54</sup> in tRNA // <i>S</i>-adenosyl-L-methionine // a 5-methyluracil<sup>54</sup> in tRNA // <i>S</i>-adenosyl-L-homocysteine // H<SUP>+</SUP>,a 5-methyluracil<sup>54</sup> in tRNA // <i>S</i>-adenosyl-L-homocysteine // H<SUP>+</SUP>,tRNA m<sup>5</sup>U54 methyltransferase,trmA,
adenosine 2'-monophosphate[periplasm] + H2O[periplasm]  ->  adenosine[periplasm] + phosphate[periplasm],EC-3.1.3,H<sub>2</sub>O // adenosine 2'-monophosphate // phosphate // adenosine,phosphate // adenosine,alkaline phosphatase,phoA,
3-methyl-2-oxobutanoate + acetyl-CoA + H2O  ->  (2S)-2-isopropylmalate + coenzyme A + H+,EC-2.3.3.13,H<sub>2</sub>O // acetyl-CoA // 3-methyl-2-oxobutanoate // H<SUP>+</SUP> // (2<i>S</i>)-2-isopropylmalate // coenzyme A,H<SUP>+</SUP> // (2<i>S</i>)-2-isopropylmalate // coenzyme A,2-isopropylmalate synthase,leuA,L-leucine biosynthesis
L-isoleucine + ATP + H+  ->  (L-isoleucyl)adenylate + diphosphate,,H<SUP>+</SUP> // ATP // L-isoleucine // (L-isoleucyl)adenylate // diphosphate,(L-isoleucyl)adenylate // diphosphate,isoleucine&mdash;tRNA ligase,ileS,
methylglyoxal + a [protein]-L-lysine  ->  an N6-(1-hydroxy-2-oxopropyl)-[protein]-L-lysine + H+,,a [protein]-L-lysine // methylglyoxal // an <i>N</i><sup>6</sup>-(1-hydroxy-2-oxopropyl)-[protein]-L-lysine // H<SUP>+</SUP>,an <i>N</i><sup>6</sup>-(1-hydroxy-2-oxopropyl)-[protein]-L-lysine // H<SUP>+</SUP>,,,
dUDP + oxidized thioredoxin + H2O  <-  UDP + reduced thioredoxin,EC-1.17.4.1,H<sub>2</sub>O // an oxidized thioredoxin // dUDP // UDP // a reduced thioredoxin,dUDP // an oxidized thioredoxin // H<sub>2</sub>O,ribonucleoside-diphosphate reductase 1,nrdA // nrdB,pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I // superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (<i>E. coli</i>)
UDP-4-amino-4-deoxy-beta-L-arabinopyranose + 2-oxoglutarate  <-->  UDP-beta-L-threo-pentapyranos-4-ulose + L-glutamate,EC-2.6.1.92 // EC-2.6.1.87,2-oxoglutarate // UDP-4-amino-4-deoxy-&beta;-L-arabinopyranose // UDP-&beta;-L-threo-pentapyranos-4-ulose // L-glutamate,UDP-&beta;-L-threo-pentapyranos-4-ulose // L-glutamate,UDP-4-amino-4-deoxy-L-arabinose aminotransferase,arnB,polymyxin resistance
hydrosulfide + H+  <-->  hydrogen sulfide,,H<SUP>+</SUP> // hydrosulfide // hydrogen sulfide,hydrogen sulfide,,,
gamma-butyrobetainyl-CoA + oxidized electron-transfer flavoprotein + H+  <-  crotonobetainyl-CoA + reduced electron-transfer flavoprotein,EC-1.3.8.13,H<SUP>+</SUP> // an oxidized electron-transfer flavoprotein // &gamma;-butyrobetainyl-CoA // crotonobetainyl-CoA // a reduced electron-transfer flavoprotein,&gamma;-butyrobetainyl-CoA // an oxidized electron-transfer flavoprotein // H<SUP>+</SUP>,crotonobetainyl-CoA reductase,caiA,L-carnitine degradation I
L-2-amino-3-oxobutanoate + H+  ->  aminoacetone + CO2,,H<SUP>+</SUP> // L-2-amino-3-oxobutanoate // aminoacetone // CO<SUB>2</SUB>,aminoacetone // CO<SUB>2</SUB>,,yiaY // tdh,L-threonine degradation III (to methylglyoxal)
"a donor peptidoglycan with (L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanine) tetrapeptide[periplasm] + glycine[periplasm]  ->  a nascent peptidoglycan with (L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-glycine) tetrapeptide[periplasm] + D-alanine[periplasm]",,"glycine // a donor peptidoglycan with (L-alanyl-&gamma;-D-glutamyl-<i>meso</i>-2,6-diaminopimeloyl-D-alanine) tetrapeptide // a nascent peptidoglycan with (L-alanyl-&gamma;-D-glutamyl-<i>meso</i>-2,6-diaminopimeloyl-glycine) tetrapeptide // D-alanine","a nascent peptidoglycan with (L-alanyl-&gamma;-D-glutamyl-<i>meso</i>-2,6-diaminopimeloyl-glycine) tetrapeptide // D-alanine","L,D-transpeptidase LdtD",ldtD,peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)
D-ribulose + ATP  ->  ADP + D-ribulose 5-phosphate + H+,EC-2.7.1.47,ATP // D-ribulose // H<SUP>+</SUP> // ADP // D-ribulose 5-phosphate,H<SUP>+</SUP> // ADP // D-ribulose 5-phosphate,,,D-arabinose degradation I // ribitol degradation I
(S)-ureidoglycolate  ->  urea + glyoxylate,EC-4.3.2.3,(<i>S</i>)-ureidoglycolate // urea // glyoxylate,urea // glyoxylate,ureidoglycolate lyase,allA,allantoin degradation to glyoxylate III
acetyl-CoA + dihydrolipoamide  ->  coenzyme A + S-acetyldihydrolipoamide,EC-2.3.1.12,dihydrolipoamide // acetyl-CoA // coenzyme A // <i>S</i>-acetyldihydrolipoamide,coenzyme A // <i>S</i>-acetyldihydrolipoamide,,,
L-glycero-L-galacto-octuluronate-1-phosphate  <-->  glycerone phosphate + aldehydo-L-arabinuronate,,L-<i>glycero</i>-L-galacto-octuluronate-1-phosphate // glycerone phosphate // <i>aldehydo</i>-L-arabinuronate,glycerone phosphate // <i>aldehydo</i>-L-arabinuronate,L-glycero-L-galacto-octuluronate-1-phosphate aldolase,ydjI,
keto-L-rhamnulose  ->  L-rhamnulofuranose,,<i>keto</i>-L-rhamnulose // L-rhamnulofuranose,L-rhamnulofuranose,,,L-rhamnose degradation I
UDP-3-O-[(3R)-3-hydroxymyristoyl]-N-acetyl-alpha-D-glucosamine + H2O  ->  UDP-3-O-[(3R)-3-hydroxymyristoyl]-alpha-D-glucosamine + acetate,EC-3.5.1.108,H<sub>2</sub>O // UDP-3-<i>O</i>-[(3<i>R</i>)-3-hydroxymyristoyl]-<i>N</i>-acetyl-&alpha;-D-glucosamine // UDP-3-<i>O</i>-[(3<i>R</i>)-3-hydroxymyristoyl]-&alpha;-D-glucosamine // acetate,UDP-3-<i>O</i>-[(3<i>R</i>)-3-hydroxymyristoyl]-&alpha;-D-glucosamine // acetate,UDP-3-O-acyl-N-acetylglucosamine deacetylase,lpxC,lipid IV<sub>A</sub> biosynthesis (<i>E. coli</i>)
tRNAAla + L-alanine + ATP  ->  L-alanyl-[tRNAAla] + AMP + diphosphate,EC-6.1.1.7,ATP // L-alanine // a tRNA<SUP>Ala</SUP> // an L-alanyl-[tRNA<SUP>Ala</SUP>] // diphosphate // AMP,an L-alanyl-[tRNA<SUP>Ala</SUP>] // diphosphate // AMP,alanine&mdash;tRNA ligase/DNA-binding transcriptional repressor,alaS,tRNA charging
choline + oxidized electron carrier  <-->  betaine aldehyde + reduced two electron carrier,EC-1.1.99.1,an oxidized electron carrier // choline // betaine aldehyde // a reduced two electron carrier,betaine aldehyde // a reduced two electron carrier,choline dehydrogenase,betA,glycine betaine biosynthesis I (Gram-negative bacteria)
ATP + D-glycerate  ->  2-phospho-D-glycerate + ADP + H+,EC-2.7.1.165,D-glycerate // ATP // H<SUP>+</SUP> // 2-phospho-D-glycerate // ADP,H<SUP>+</SUP> // 2-phospho-D-glycerate // ADP,glycerate 2-kinase 2 // glycerate 2-kinase 1,garK // glxK,glycolate and glyoxylate degradation I // <i>D</i>-glucarate degradation I // D-galactarate degradation I // 2-<I>O</I>-&alpha;-mannosyl-D-glycerate degradation
(R)-4'-phosphopantothenate + CTP + H+  ->  (R)-4'-phosphopantothenoyl-cytidylate + diphosphate,,H<SUP>+</SUP> // CTP // (<i>R</i>)-4'-phosphopantothenate // (R)-4'-phosphopantothenoyl-cytidylate // diphosphate,(R)-4'-phosphopantothenoyl-cytidylate // diphosphate,fused 4'-phosphopantothenoylcysteine decarboxylase and phosphopantothenoylcysteine synthetase,dfp,
"11-deoxycorticosterone + NADH + H+  ->  4-pregnen-20,21-diol-3-one + NAD+",EC-1.1.1,"H<SUP>+</SUP> // NADH // 11-deoxycorticosterone // 4-pregnen-20,21-diol-3-one // NAD<sup>+</sup>","4-pregnen-20,21-diol-3-one // NAD<sup>+</sup>",2-keto-3-deoxy-D-gluconate dehydrogenase,kduD,
isethionate + FMNH2 + dioxygen  ->  glycolaldehyde + sulfite + FMN + H2O + 2 H+,EC-1.14.14.5,dioxygen // FMNH<SUB>2</SUB> // isethionate // glycolaldehyde // sulfite // H<sub>2</sub>O // FMN // H<SUP>+</SUP>,glycolaldehyde // sulfite // H<sub>2</sub>O // FMN // H<SUP>+</SUP>,FMNH<sub>2</sub>-dependent alkanesulfonate monooxygenase,ssuD,
a uridine34 in tRNA + a [tRNA-uridine 2-sulfurtransferase]-S-sulfanyl-L-cysteine + ATP + reduced two electron carrier  ->  a 2-thiouridine34 in tRNA + a [tRNA-uridine 2-sulfurtransferase]-L-cysteine + AMP + oxidized electron carrier + diphosphate + H+,EC-2.8.1.13,a reduced two electron carrier // ATP // a [tRNA-uridine 2-sulfurtransferase]-<i>S</i>-sulfanyl-L-cysteine // a uridine<sup>34</sup> in tRNA // a 2-thiouridine<sup>34</sup> in tRNA // a [tRNA-uridine 2-sulfurtransferase]-L-cysteine // AMP // diphosphate // an oxidized electron carrier // H<SUP>+</SUP>,a 2-thiouridine<sup>34</sup> in tRNA // a [tRNA-uridine 2-sulfurtransferase]-L-cysteine // AMP // diphosphate // an oxidized electron carrier // H<SUP>+</SUP>,tRNA-specific 2-thiouridylase,mnmA,tRNA-uridine<sup>34</sup> modifications (<i>E. coli</i>)
D-glycerate + NAD(P)+  <-  (2R)-tartronate semialdehyde + NAD(P)H + H+,EC-1.1.1.60,D-glycerate // NAD(P)<sup>+</sup> // (2R)-tartronate semialdehyde // NAD(P)H // H<SUP>+</SUP>,NAD(P)<sup>+</sup> // D-glycerate,tartronate semialdehyde reductase,garR,glycolate and glyoxylate degradation I // <i>D</i>-glucarate degradation I // D-galactarate degradation I
ATP + UTP + L-glutamine + H2O  ->  ADP + CTP + L-glutamate + phosphate + 2 H+,EC-6.3.4.2,H<sub>2</sub>O // L-glutamine // UTP // ATP // H<SUP>+</SUP> // ADP // phosphate // CTP // L-glutamate,H<SUP>+</SUP> // ADP // phosphate // CTP // L-glutamate,CTP synthetase,pyrG,UTP and CTP <i>de novo</i> biosynthesis
cyanate + hydrogen carbonate + 3 H+  ->  ammonium + 2 CO2,EC-4.2.1.104,H<SUP>+</SUP> // hydrogen carbonate // cyanate // ammonium // CO<SUB>2</SUB>,ammonium // CO<SUB>2</SUB>,cyanase,cynS,cyanate degradation
"L-galactono-1,5-lactone  ->  L-galactono-1,4-lactone",,"L-galactono-1,5-lactone // L-galactono-1,4-lactone","L-galactono-1,4-lactone",,,
D-allopyranose + ATP  ->  aldehydo-D-allose 6-phosphate + ADP + H+,EC-2.7.1.55,ATP // D-allopyranose // H<SUP>+</SUP> // <i>aldehydo</i>-D-allose 6-phosphate // ADP,H<SUP>+</SUP> // <i>aldehydo</i>-D-allose 6-phosphate // ADP,D-allose kinase,alsK,D-allose degradation
GMP + ATP  <-->  GDP + ADP,EC-2.7.4.8,ATP // GMP // GDP // ADP,GDP // ADP,guanylate kinase,gmk,guanosine ribonucleotides <i>de novo</i> biosynthesis
L-allo-threonine + NADP+  ->  L-2-amino-3-oxobutanoate + NADPH + H+,,NADP<sup>+</sup> // L-<I>allo</I>-threonine // L-2-amino-3-oxobutanoate // NADPH // H<SUP>+</SUP>,L-2-amino-3-oxobutanoate // NADPH // H<SUP>+</SUP>,3-hydroxy acid dehydrogenase YdfG,ydfG,
UDP-alpha-D-glucose + galactosyl-(glucosyl)2-(heptosyl)3-Kdo2-lipid A-bisphosphate (E. coli)  ->  galactosyl-(glucosyl)3-(heptosyl)3-Kdo2-lipid A-bisphosphate (E. coli) + UDP + H+,EC-2.4.1.58,galactosyl-(glucosyl)<sub>2</sub>-(heptosyl)<sub>3</sub>-Kdo<sub>2</sub>-lipid A-bisphosphate (<i>E. coli</i>) // UDP-&alpha;-D-glucose // H<SUP>+</SUP> // galactosyl-(glucosyl)<sub>3</sub>-(heptosyl)<sub>3</sub>-Kdo<sub>2</sub>-lipid A-bisphosphate (<i>E. coli</i>) // UDP,H<SUP>+</SUP> // galactosyl-(glucosyl)<sub>3</sub>-(heptosyl)<sub>3</sub>-Kdo<sub>2</sub>-lipid A-bisphosphate (<i>E. coli</i>) // UDP,"UDP-glucose:(glucosyl)LPS &alpha;-1,2-glucosyltransferase",waaJ,lipid A-core biosynthesis (<i>E. coli</i> K-12)
"(S)-3-hydroxy-(5Z)-dodecenoyl-CoA  <-->  (2E,5Z)-dodec-2,5-dienoyl-CoA + H2O",EC-4.2.1.74,"(S)-3-hydroxy-(5Z)-dodecenoyl-CoA // (2E,5Z)-dodec-2,5-dienoyl-CoA // H<sub>2</sub>O","(2E,5Z)-dodec-2,5-dienoyl-CoA // H<sub>2</sub>O",anaerobic multifunctional fatty acid oxidation complex subunit alpha // multifunctional fatty acid oxidation complex subunit alpha,fadB // fadJ,
